DBNOs,assists,attributes_createdAt,attributes_duration,attributes_gameMode,attributes_isCustomMatch,attributes_mapName,attributes_matchType,attributes_seasonState,attributes_shardId,attributes_stats,attributes_tags,attributes_titleId,boosts,damageDealt,deathType,headshotKills,heals,id,killPlace,killStreaks,kills,links_schema,links_self,longestKill,name,playerId,relationships_assets_data,relationships_rosters_data,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,type,vehicleDestroys,walkDistance,weaponsAcquired,winPlace
,,2023-12-03T12:59:22Z,1881,esports-squad-fpp,True,DihorOtok_Main,,progress,tournament,,,bluehole-pubg,,,,,,e75494f6-f5dc-4ef3-8fa8-da3a277b3c64,,,,,https://api-eks.pubg.com/shards/tournament/matches/e75494f6-f5dc-4ef3-8fa8-da3a277b3c64,,,,"[{'type': 'asset', 'id': '6f6e792b-91e0-11ee-8a1f-1eb0f844511c'}]","[{'type': 'roster', 'id': 'a64feb35-2411-4941-ab01-6530d9ef53d9'}, {'type': 'roster', 'id': '7c0b500e-3ca2-4a8a-b49b-fbcd56340d87'}, {'type': 'roster', 'id': 'ca86d49c-cbed-437e-bfec-3e788974c2d2'}, {'type': 'roster', 'id': 'aaa362ef-27b9-4aca-8a88-fb237dceed48'}, {'type': 'roster', 'id': 'ecdc27b3-0d8d-41f2-9304-a08fb9bf622e'}, {'type': 'roster', 'id': '7f5f603d-18d1-47f3-9a63-26b07bb104b5'}, {'type': 'roster', 'id': '0499d15e-26c4-431d-ab9f-3a10b7f87287'}, {'type': 'roster', 'id': '19afa32f-dfdf-44c6-a338-2428e232ee6e'}, {'type': 'roster', 'id': '978749c0-f9b9-4c04-8458-d2412ac74a79'}, {'type': 'roster', 'id': '5799fbb3-354f-46bb-8825-7fb4899c4f5c'}, {'type': 'roster', 'id': '4576a2f5-7269-4687-bbdc-645fafcc28e9'}, {'type': 'roster', 'id': 'b70f8d25-eb83-43ec-b0fd-92c204d86f6e'}, {'type': 'roster', 'id': '4b6e14dd-0893-42d2-8cb0-2924071f1e7f'}, {'type': 'roster', 'id': '98b37ad3-77f2-412b-b239-1792e2b12724'}, {'type': 'roster', 'id': '2255cc03-d996-4e52-a3fc-cd3fb5a051b8'}, {'type': 'roster', 'id': 'c8608749-e3a7-4f47-aaee-b45895078ebf'}]",,,,,,,match,,,,
3,0,,,,,,,,,,,,4,566.2009,byplayer,1,6,,5,1,4,,,294.5749,CES_HaiSaki,account.dea4fb5a5ef04ca4943915a3b936d2d1,,,0,3060.8682,0,0,0,1338,,0,1957.8196,4,8
3,1,,,,,,,,,,,,3,432.86108,byplayer,0,2,,7,2,3,,,63.025158,LG_Fludd,account.724b0358952440579ebc7f3391bb49ad,,,0,6791.5664,0,0,0,1311,,0,826.9485,3,4
1,2,,,,,,,,,,,,5,502.1172,byplayer,1,7,,11,1,2,,,39.978325,LG_Snakers,account.2efa55271d4842f98b1fd811dca09440,,,0,8009.841,0,0,0,1593,,0,1301.956,9,4
0,0,,,,,,,,,,,,4,0,byplayer,0,6,,61,0,0,,,0,TWIS_BatulinS,account.fff088a8a2b64fbf86cf283cddc1e706,,,0,1901.2568,0,0,0,986,,0,707.9032,5,15
1,0,,,,,,,,,,,,3,133.32948,byplayer,0,2,,22,1,1,,,129.70038,DAY_Flash,account.a12bbe8283bd43768ae28f76f86a465d,,,0,5507.8374,0,0,0,1316,,0,797.04156,4,9
1,1,,,,,,,,,,,,4,110.7625,byplayer,0,5,,21,1,1,,,2.2595844,NH_Nannnnn,account.be3c1e2f5121454abfea4b62ca13589b,,,0,1872.6708,0,0,0,1277,,0,1628.7863,4,7
3,0,,,,,,,,,,,,5,367.05255,byplayer,1,5,,8,3,3,,,73.684425,NH_Dec12th,account.77be07e20d244421bf882fea6c1e9926,,,0,3655.2097,0,0,0,1540,,0,1228.0057,4,7
2,0,,,,,,,,,,,,1,199.08937,byplayer,0,1,,26,1,1,,,49.02851,TL_Lzqq,account.1cfab29a77634c5487aeb6467c2200cb,,,0,3144.0945,0,0,0,1155,,0,1092.1001,4,13
0,0,,,,,,,,,,,,5,0,byplayer,0,3,,58,0,0,,,0,SSG_PiXeL1K,account.447fdbc9247d4b4baa399d14721d4636,,,0,13976.71,0,0,0,1008,,0,437.0608,4,14
0,0,,,,,,,,,,,,0,0,byplayer,0,0,,65,0,0,,,0,T5_Hatsawat,account.8cac1bff944a49d6bf88661c2e4b04e6,,,0,1406.4415,0,0,0,648,,0,463.82632,11,16
0,0,,,,,,,,,,,,5,370.31833,byplayer,0,4,,32,0,0,,,0,PeRo_Ming,account.454b06f74f714a9ba5910a4b65691867,,,0,110.894806,0,0,0,1880,,0,2293.9868,4,2
0,0,,,,,,,,,,,,0,29.04,byplayer,0,0,,63,0,0,,,0,T5_Pathompong,account.f95fd6b654a5401e8b0acac768063f35,,,0,2330.9797,0,0,0,648,,0,589.67004,8,16
0,0,,,,,,,,,,,,1,0,byplayer,0,0,,66,0,0,,,0,T5_Thanad0l,account.08ae687f7dff4a438dcd7c8d56ac6e11,,,0,1172.2848,0,0,0,648,,0,907.1376,5,16
0,0,,,,,,,,,,,,1,0,byplayer,0,2,,62,0,0,,,0,TWIS_Perfect1ks,account.6d5d4e01468f4920846978b6dd5f2558,,,0,1721.4272,0,0,0,750,,0,850.0366,6,15
2,1,,,,,,,,,,,,2,134.66,byplayer,0,2,,53,0,0,,,0,TL_ATongMuu,account.4e0b93ba1c444280b5c852d22ad87cf1,,,1,3045.0435,0,0,0,1155,,0,1106.4836,8,13
0,0,,,,,,,,,,,,4,148.77826,byplayer,0,2,,35,0,0,,,0,GEN_DG98,account.b35ab37d7d924b46b51e63d10ae3fa36,,,1,5051.5996,0,0,0,1505,,0,1444.4023,9,5
2,0,,,,,,,,,,,,4,284.23163,byplayer,0,2,,18,1,1,,,335.38068,FaZe_Fexx,account.e3c55aad6c3445678dbf4063904248ea,,,0,914.80865,0,0,0,1648,,1,1697.2777,5,3
0,0,,,,,,,,,,,,1,145.94916,byplayer,0,0,,55,0,0,,,0,TL_Shen,account.2f6ccd93ce9645a096546f78a4383c66,,,0,1519.3961,0,0,0,1091,,0,1740.914,3,13
0,0,,,,,,,,,,,,6,77.09273,byplayer,0,1,,20,1,1,,,69.127426,Tian_Zyy,account.e17ede0921cf47269ce62560299ec387,,,0,3332.6565,0,0,0,1384,,0,1128.4589,4,6
1,0,,,,,,,,,,,,3,141.23169,byplayer,0,1,,48,0,0,,,0,SQ_Shrimzy,account.12e2a0dc0dbb4bd882dbf40df0d564f4,,,1,9124.925,0,0,0,1191,,1,872.9922,2,11
3,0,,,,,,,,,,,,9,903.26215,byplayer,2,3,,2,2,5,,,76.292206,PeRo_Aixleft,account.358ae36813c444c2b4ff6b828df69551,,,0,1414.2115,0,0,0,1876,,0,2570.4153,11,2
1,1,,,,,,,,,,,,4,171.13277,byplayer,0,4,,19,1,1,,,10.941903,LG_Relo,account.6614558d5558453080a46dbf687e7b58,,,0,9022.285,0,0,0,1268,,0,781.6997,5,4
0,0,,,,,,,,,,,,2,107.04495,byplayer,0,11,,60,0,0,,,0,TWIS_Lu,account.615d20582bcc4d5cb5818922caab2f22,,,0,4218.0874,0,0,0,1043,,0,1057.3602,6,15
3,0,,,,,,,,,,,,7,297.1484,byplayer,0,6,,4,1,4,,,324.7777,FaZe_jeemzz,account.a53191c1cb564946a0e1b058368ba4be,,,0,2649.378,0,0,0,1513,,0,1720.2617,9,3
