,Total Points,Avg Total Points,WWCD,Avg Rank,Place Pts,Avg Place Pts,Kills,Avg Kills,Assists,Damage Dealt,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Knocks,Revives,Headshot Kills,Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Heals,Health Recovered,Boosts,Vehicle Destroys
Grenades Thrown,0.763167196979052,0.7600642897754765,0.7348548804902397,-0.5517608687602497,0.7882404445778184,0.7850979592308405,0.6190993362681866,0.5984831136015987,0.42712074986270054,0.42574277983705827,0.4258443682144051,0.5373744507797691,0.5374365076709243,0.24531628978593115,0.44947365483690627,0.052154388190192656,0.4813486280759464,0.13758454933135825,0.8833805007390919,0.4827080647606997,1.0,0.7662727059444572,0.4225415952590047,0.594321832985786,0.39424917631706896,0.4565894417713282,0.5430234656718692,0.412451625790032,0.5036913080166857,0.22309499456056192,0.22498391187854247,0.3555135571917204,,0.4307313129855102,-0.3409636433337843,0.5187441250618187,0.5717117025858436,0.6759689795111566,0.42117724872247986
Grenades Damage,0.43926340070271847,0.43274734170813506,0.5336694509087361,-0.3034337299915296,0.5759553607846318,0.580436685294793,0.25098260813105416,0.2280951626375603,0.3311520293807911,0.1813767912976403,0.18143171265465088,0.24421901339940696,0.24423932518628377,-0.03282848550936242,0.43036530156426944,-0.1802874908210988,0.12619133207106453,0.05067458004189765,0.7317192205335071,0.608805649250098,0.7662727059444572,1.0,0.4377557306642176,0.37277240232753805,0.39879891672907564,0.5866316617876478,0.5607650254428981,0.4372939719164151,0.5187515993939408,0.5238412539096626,0.5328697455918066,0.5105322572449381,,0.06654349172633961,-0.4635022223810688,0.25901587672631005,0.2798088369337813,0.23075387717363108,0.3713723910934676
Molotovs Picked,0.4252799608174965,0.42072049954433954,0.1690140853268351,-0.20447702513804208,0.3290124613540218,0.3294872367548702,0.43999669772706723,0.4320580041740259,0.27323905064367954,0.18646404820733742,0.18648459608858764,0.1783278884861906,0.17831249100911636,0.3425030411332585,0.23866633399594595,0.19115472291601635,-0.1607725164103647,-0.18676078748481506,0.38300562286989925,0.00869681889793293,0.4225415952590047,0.4377557306642176,1.0,0.5242890952586976,0.593812192182724,0.13523384254836726,0.33958007328346906,0.06515111757732452,0.141851320350272,0.11036314340575777,-0.0019863719595874497,0.18156417829475932,,0.2539104781132359,-0.21074790275294913,0.13940172603016848,0.17616809160225472,0.2817871302272702,0.24858499162894096
Molotovs Dropped,0.5055479374188478,0.4995844903997595,0.625582319792084,-0.06462615883040992,0.4571140680747185,0.44215804479267956,0.46616373952864487,0.44983782180721366,0.32675285389657,0.1938979940790053,0.19393263461306304,0.3778298681185747,0.3778281238698373,0.3435802819479931,0.22000040533679238,0.29771373845093324,0.05154817047625754,-0.11423237048212267,0.6153606004294531,0.22729156022541494,0.594321832985786,0.37277240232753805,0.5242890952586976,1.0,-0.05572211228313151,0.02644011207326894,0.38323367502767774,0.2933961084359379,0.27113157771390434,-0.1749846454251251,0.19487752801774477,0.10158310933461044,,0.27801645062114777,-0.305282571269203,0.38657976990326026,0.4315198807681778,0.49588368666511173,0.10340516742844154
Molotovs Thrown,0.4720647861645582,0.4721197188194594,0.08892077728963395,-0.41815503620830274,0.37108646228017833,0.38583693530620566,0.48333381141825205,0.48007875345443013,0.12448244190891003,0.254623714584985,0.2546294580204301,0.11952793113513172,0.11958793020729748,0.33536326526901267,0.18734248262535624,0.1801538578981806,0.17427928253176145,-0.016878345844954668,0.18020190479433346,-0.11771545129394595,0.39424917631706896,0.39879891672907564,0.593812192182724,-0.05572211228313151,1.0,0.32813366438323094,0.10928078375045794,-0.09351932734669784,0.09849510370892765,0.22648047470608737,-0.2823849400851756,0.17538799564403482,,0.2421655589830515,0.13880082061593949,0.13106497694041563,0.09448157123017847,0.2221269749825663,0.3880910450358703
Molotovs Damage,0.4038555628257638,0.4041005823598183,0.3233795009670095,-0.4644073689749766,0.47709449695474826,0.47139005563439973,0.275937338828022,0.2718780337998841,0.4337651540589053,0.5217215216114354,0.5218083613082409,0.3461028454449692,0.34616000217296955,0.3564024272639087,0.4961641630223903,-0.03148433083704465,0.24526087004825076,0.31705790946198925,0.4628779106721834,0.5828319016115512,0.4565894417713282,0.5866316617876478,0.13523384254836726,0.02644011207326894,0.32813366438323094,1.0,0.5882945030251496,0.6173711168938567,0.48404395606166223,-0.07345693054265812,0.6249634564321646,0.000947448908768267,,0.3169071195044841,0.15239955643714043,0.32604026707474115,0.3709766285115111,0.1608408197462212,0.48025236943978156
Smokes Picked,0.41442648796677184,0.396011044729888,0.5680969634900264,-0.39359696139677913,0.5114092073580934,0.49332369857699193,0.2643507143401973,0.25521573483011567,0.4600353569936881,0.33791505174657405,0.33800463260621794,0.460184863509164,0.4602494017805673,0.25086990135259196,0.41912108986439256,0.15815584801128146,-0.02282789321356069,0.3320722559424994,0.5001529258829381,0.37965211137437155,0.5430234656718692,0.5607650254428981,0.33958007328346906,0.38323367502767774,0.10928078375045794,0.5882945030251496,1.0,0.5551905918630702,0.8372709435495364,0.06930190614265853,0.6247135966181839,0.23819093815505682,,0.4722181120539922,0.048458666067356326,0.4319310831964928,0.49669777150153105,0.4679356972710886,0.16681571403001003
Smokes Dropped,0.2872972568865147,0.287053160365457,0.5469017882704458,-0.08978347593341456,0.4615448946876787,0.46102494784499387,0.09103781995285859,0.07451772947552854,0.3164788949808601,0.5129195832096208,0.5129969987230695,-0.0028983357176858996,-0.0028377135001575295,0.29584069528035073,0.17925562966321013,0.044750482226656584,0.14398406985232737,0.4628073087012418,0.4609258925115434,0.5679330914411604,0.412451625790032,0.4372939719164151,0.06515111757732452,0.2933961084359379,-0.09351932734669784,0.6173711168938567,0.5551905918630702,1.0,0.24709097249177533,-0.10902875659343286,0.5925354114469885,-0.08264682079543707,,0.303617525205811,-0.07997114513622951,-0.0038792738516196974,0.07349801815812736,0.11831528119023128,-0.13375383823941814
Smokes Thrown,0.27594637527895016,0.25509229595782223,0.5198101513081472,-0.4054260536557147,0.37930584702007647,0.3602012045741354,0.14259649035188013,0.1385002114942244,0.3152887321353167,0.1277232380605056,0.12779719066566747,0.514933604353572,0.5150094059199378,0.02791748412613916,0.3395038480436039,0.02865299927959813,-0.12839008993149226,0.2504952750151682,0.3757452662643071,0.19500434166875533,0.5036913080166857,0.5187515993939408,0.141851320350272,0.27113157771390434,0.09849510370892765,0.48404395606166223,0.8372709435495364,0.24709097249177533,1.0,0.16607439472165578,0.559855689996865,0.4728949310761192,,0.38779398158541967,0.10676274404905234,0.545917655968163,0.5413074657812893,0.47314686672561934,0.22966432395307287
Flashes Picked,-0.10556789423752484,-0.114420352865834,-0.00047495392087007205,0.1576379344112432,-0.0006163816001213436,0.01844495012838079,-0.17907040353978032,-0.19674019235731463,0.03149770414198474,-0.2937528141647953,-0.2937462263320571,-0.08636309133775853,-0.08636527284364261,-0.5192158823917432,0.15103628626430912,-0.4140421179346187,-0.2028209533638333,-0.04732177710715741,0.021700541845938486,-0.029695766907431826,0.22309499456056192,0.5238412539096626,0.11036314340575777,-0.1749846454251251,0.22648047470608737,-0.07345693054265812,0.06930190614265853,-0.10902875659343286,0.16607439472165578,1.0,0.14741950834100206,0.6588382543214699,,-0.2539591816814549,-0.5995952883712569,-0.08287622519034003,-0.09534815846012519,-0.17140143309079012,-0.10863111357773059
Flashes Dropped,0.05799180612985288,0.04870696007165657,0.28794774770473447,-0.11249154214667012,0.25706476192615785,0.24811212508292435,-0.12286566179203197,-0.13260870419264315,0.5266287069973764,0.22385172917034296,0.22390968848607787,0.27815310053165493,0.27814903429650123,0.03851617749823599,0.40773904567793906,-0.08537828416554787,-0.26175717092466166,0.4285615371528782,0.3170004598444652,0.5507727994587588,0.22498391187854247,0.5328697455918066,-0.0019863719595874497,0.19487752801774477,-0.2823849400851756,0.6249634564321646,0.6247135966181839,0.5925354114469885,0.559855689996865,0.14741950834100206,1.0,0.2592967513899419,,0.14610038778994294,-0.28862760881793437,0.2853511991817162,0.3242823107324952,-0.0031949198911034316,0.11886483784273091
Flashes Thrown,0.07254206082598394,0.05824154465127094,0.1248710199179347,-0.18024870472285714,0.12749006208546573,0.12400029803820505,0.013550021642667168,0.005896932220608029,0.27283338382423067,0.01452361874955602,0.014503125907452277,0.18723106628788447,0.18724749857795162,-0.21512462826918302,0.37316667981141843,-0.3539970809505315,-0.2682604320320615,0.02640007192114844,0.1699637939319508,-0.018825252127350298,0.3555135571917204,0.5105322572449381,0.18156417829475932,0.10158310933461044,0.17538799564403482,0.000947448908768267,0.23819093815505682,-0.08264682079543707,0.4728949310761192,0.6588382543214699,0.2592967513899419,1.0,,0.10472264118130382,-0.37107836407132017,0.16294134752389586,0.18640537625816722,0.11345477172813564,0.04444241355309271
Swimming Distance (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk Distance (km),0.6672756057896874,0.6653814733599335,0.5189528475194439,-0.6905221926303985,0.6856415524149837,0.6739708195700497,0.5443749395001196,0.5453856161970763,0.6166923419227982,0.819960098315676,0.8199745090811748,0.651529693862984,0.6516273283326542,0.723516568449164,0.4599184366315896,0.4882344334095954,0.14133160434202272,0.6124366158585194,0.23691071689862958,-0.05990988286496163,0.4307313129855102,0.06654349172633961,0.2539104781132359,0.27801645062114777,0.2421655589830515,0.3169071195044841,0.4722181120539922,0.303617525205811,0.38779398158541967,-0.2539591816814549,0.14610038778994294,0.10472264118130382,,1.0,0.07538980979234235,0.6718345057655222,0.6674138523280242,0.6385970080416471,0.22741764287635716
